control_id,title,page,chapter,profile_scope,level,automated,status_impl,status_tested,status_validated,notes
5.2.6,Ensure sudo timestamp_timeout is configured (Automated),586,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.2.7,Ensure access to the su command is restricted (Automated),588,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.1.1,Ensure latest version of pam is installed (Automated),592,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.1.2,Ensure latest version of libpam-modules is installed (Automated),593,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.1.3,Ensure latest version of libpam-pwquality is installed (Automated),594,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.2.1,Ensure pam_unix module is enabled (Automated),597,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.2.2,Ensure pam_faillock module is enabled (Automated),599,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.2.3,Ensure pam_pwquality module is enabled (Automated),602,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.2.4,Ensure pam_pwhistory module is enabled (Automated),605,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.1.1,Ensure password failed attempts lockout is configured (Automated),610,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.1.2,Ensure password unlock time is configured (Automated),612,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.1.3,Ensure password failed attempts lockout includes root account (Automated),614,5,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
5.3.3.2.1,Ensure password number of changed characters is configured (Automated),619,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.2.2,Ensure password length is configured (Automated),622,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.2.3,Ensure password complexity is configured (Manual),625,5,Server:Level 1;Workstation:Level 1,Level 1,Manual,OK,OK,,
5.3.3.2.4,Ensure password same consecutive characters is configured (Automated),629,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.2.5,Ensure password maximum sequential characters is configured (Automated),632,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.2.6,Ensure password dictionary check is enabled (Automated),635,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.2.7,Ensure password quality checking is enforced (Automated),637,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.2.8,Ensure password quality is enforced for the root user (Automated),639,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.3.1,Ensure password history remember is configured (Automated),642,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.3.2,Ensure password history is enforced for the root user (Automated),645,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.3.3,Ensure pam_pwhistory includes use_authtok (Automated),647,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.4.1,Ensure pam_unix does not include nullok (Automated),650,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.4.2,Ensure pam_unix does not include remember (Automated),652,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.4.3,Ensure pam_unix includes a strong password hashing algorithm (Automated),654,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.3.3.4.4,Ensure pam_unix includes use_authtok (Automated),658,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
